kepid,true_label,snr_tier,koi_model_snr,koi_period,kepoi_name,koi_disposition,score,error
7369523,0,fp,5776.1,2.659418888,K06870.01,FALSE POSITIVE,0.9094107151031494,
11409698,0,fp,5758.7,10.26782676,K07444.01,FALSE POSITIVE,0.0033940142020583153,
9873869,0,fp,5742.0,4.994773558,K07241.01,FALSE POSITIVE,3.18162637995556e-05,
2445134,0,fp,5696.2,8.412008943,K05983.01,FALSE POSITIVE,0.0066778757609426975,
3120320,0,fp,5640.0,10.265613245,K06307.01,FALSE POSITIVE,0.040337588638067245,
8414159,0,fp,5606.7,11.931131598,K07035.01,FALSE POSITIVE,0.10501214861869812,
4826439,0,fp,5557.4,1.237147407,K06121.01,FALSE POSITIVE,0.00941415037959814,
4285087,0,fp,5552.2,2.243015737,K06112.01,FALSE POSITIVE,8.73154385772068e-06,
6593363,0,fp,5547.2,18.527824075,K06736.01,FALSE POSITIVE,0.1346006840467453,
12644769,0,fp,5518.2,41.077590334,K01611.01,FALSE POSITIVE,0.3131720721721649,
8316503,0,fp,5497.0,5.065329723,K07019.01,FALSE POSITIVE,1.5975012502167374e-05,
6891512,0,fp,5494.6,1.752562808,K05335.01,FALSE POSITIVE,0.07645634561777115,
8621026,0,fp,5461.0,4.059428737,K07071.01,FALSE POSITIVE,0.19281311333179474,
8415863,0,fp,5446.9,27.533803402,K07037.01,FALSE POSITIVE,0.18520240485668182,
10601579,0,fp,5402.0,8.098754149,K07349.01,FALSE POSITIVE,0.015101962722837925,
5005618,0,fp,5388.3,681.9363102,K03186.01,FALSE POSITIVE,0.009952225722372532,
3644542,0,fp,5357.7,119.67980316,K03511.01,FALSE POSITIVE,0.46543169021606445,
10031808,0,fp,5324.6,8.589644815,K07278.01,FALSE POSITIVE,0.08150278776884079,
5016163,0,fp,5312.7,2.6228301,K05115.01,FALSE POSITIVE,0.9813499450683594,
5530881,0,fp,5286.2,5.082523739,K06594.01,FALSE POSITIVE,0.022144407033920288,
6864859,0,fp,5260.3,40.877841988,K06782.01,FALSE POSITIVE,0.241999551653862,
6594972,0,fp,5258.2,10.819169459,K06737.01,FALSE POSITIVE,0.04583325982093811,
11071207,0,fp,5246.5,8.04963472,K07405.01,FALSE POSITIVE,0.02642095275223255,
9851142,0,fp,5219.5,8.480304281,K03513.01,FALSE POSITIVE,0.7110351920127869,
5735878,0,fp,5156.6,16.832079803,K06622.01,FALSE POSITIVE,0.0009280754020437598,
4950557,0,fp,5148.8,24.714790706,K06483.01,FALSE POSITIVE,0.14909864962100983,
10385682,0,fp,5143.6,3.103730697,K06223.01,FALSE POSITIVE,2.5302635549451225e-05,
8378656,0,fp,5131.4,3.62944008,K07027.01,FALSE POSITIVE,0.055575598031282425,
10849244,0,fp,5083.9,24.261683827,K07381.01,FALSE POSITIVE,0.3058883547782898,
6610219,0,fp,5027.8,11.300987626,K06743.01,FALSE POSITIVE,0.17885957658290863,
4255422,0,fp,4958.6,165.40574995,K03528.01,FALSE POSITIVE,0.3790917694568634,
12071006,0,fp,4885.3,6.096030635,K07511.01,FALSE POSITIVE,0.03065463900566101,
10228942,0,fp,4881.9,21.025447023,K06219.01,FALSE POSITIVE,0.20950087904930115,
9941387,0,fp,4791.0,27.659607786,K05738.01,FALSE POSITIVE,0.17152155935764313,
5284133,0,fp,4761.5,8.784575777,K06552.01,FALSE POSITIVE,0.41017669439315796,
12217907,0,fp,4750.2,43.204596783,K07516.01,FALSE POSITIVE,0.32030370831489563,
4840327,0,fp,4731.1,26.737139497,K05093.01,FALSE POSITIVE,0.2610626518726349,
10198109,0,fp,4696.8,17.918743061,K07294.01,FALSE POSITIVE,0.0046187834814190865,
7846730,0,fp,4680.2,11.02822674,K06923.01,FALSE POSITIVE,0.01257556676864624,
3449540,0,fp,4679.3,1.606003121,K04982.01,FALSE POSITIVE,0.015551012940704823,
9048145,0,fp,4638.1,8.667826242,K06063.01,FALSE POSITIVE,0.001409432152286172,
6543674,0,fp,4630.1,1.195515364,K05298.01,FALSE POSITIVE,0.007904142141342163,
6699562,0,fp,4607.4,46.270524872,K05317.01,FALSE POSITIVE,0.040408212691545486,
7117003,0,fp,4594.8,428.32173928,K03514.01,FALSE POSITIVE,0.207484632730484,
4847832,0,fp,4578.3,30.960216668,K06459.01,FALSE POSITIVE,0.31342896819114685,
5700330,0,fp,4563.5,53.220416998,K06616.01,FALSE POSITIVE,0.09263847768306732,
12251779,0,fp,4542.8,14.844240386,K07517.01,FALSE POSITIVE,0.2514590620994568,
8957954,0,fp,4541.1,2.179924994,K06189.01,FALSE POSITIVE,5.647800207952969e-05,
7541502,0,fp,4484.5,44.827323809,K06885.01,FALSE POSITIVE,0.051601313054561615,
5807579,0,fp,4456.6,17.844323157,K06629.01,FALSE POSITIVE,0.028579456731677055,
2693092,0,fp,4421.6,39.841522897,K06285.01,FALSE POSITIVE,0.01011426281183958,
6806632,0,fp,4419.3,9.469191607,K06772.01,FALSE POSITIVE,5.508730737346923e-06,
10275887,0,fp,4414.3,9.726748645,K07304.01,FALSE POSITIVE,2.185416406064178e-06,
10296163,0,fp,4407.8,9.296746368,K07309.01,FALSE POSITIVE,0.07774829119443893,
3938073,0,fp,4403.8,31.024310431,K06373.01,FALSE POSITIVE,0.17703481018543243,
2973509,0,fp,4355.5,6.62761199,K06300.01,FALSE POSITIVE,0.11721194535493851,
6182849,0,fp,4322.4,6.399107136,K03512.01,FALSE POSITIVE,0.006805135868489742,
6698670,0,fp,4313.4,10.81589054,K06760.01,FALSE POSITIVE,0.0019038473255932331,
8984706,0,fp,4311.3,10.135401047,K06190.01,FALSE POSITIVE,0.002505323849618435,
6859813,0,fp,4284.2,10.88242209,K06778.01,FALSE POSITIVE,1.6247475969066727e-06,
6877673,0,fp,4263.6,36.75892725,K06784.01,FALSE POSITIVE,0.13634468615055084,
6523216,0,fp,4262.9,14.313157391,K06725.01,FALSE POSITIVE,0.01315345335751772,
4157488,0,fp,4262.1,5.197420145,K06390.01,FALSE POSITIVE,0.9897161722183228,
12021387,0,fp,4257.4,241.07074582,K03522.01,FALSE POSITIVE,0.30093133449554443,
8590780,0,fp,4247.8,4.326946311,K06183.01,FALSE POSITIVE,0.0009517971775494516,
10295951,0,candidate,1441.9,6.810823723,K01154.01,CANDIDATE,4.858400188822998e-06,
6842345,0,candidate,1149.7,17.3816224,K06774.01,CANDIDATE,0.08301075547933578,
6634112,0,candidate,1073.3,9.942228056,K05308.01,CANDIDATE,0.0005257309530861676,
7380537,0,candidate,1011.6,2.688899233,K00883.01,CANDIDATE,3.6860754335066304e-05,
6620003,0,candidate,987.2,1.714274727,K01225.01,CANDIDATE,0.0016489545814692974,
4178389,0,candidate,958.7,23.210509958,K00185.01,CANDIDATE,0.005667025223374367,
12253490,0,candidate,900.3,19.159760875,K05961.01,CANDIDATE,0.05910374969244003,
7906882,0,candidate,825.0,52.513548727,K00686.01,CANDIDATE,0.025033263489603996,
9944201,0,candidate,815.3,0.721522907,K07259.01,CANDIDATE,0.0009249424329027534,
12251650,0,candidate,731.7,17.761998411,K00621.01,CANDIDATE,0.17538784444332123,
9962595,0,candidate,643.6,11.374442708,K05745.01,CANDIDATE,0.00011554027878446504,
9772531,0,candidate,607.4,31.201692472,K00950.01,CANDIDATE,0.27628934383392334,
11805075,0,candidate,590.6,199.83920527,K00436.01,CANDIDATE,0.009027532301843166,
6526710,0,candidate,561.1,39.74893077,K00856.01,CANDIDATE,0.03047379106283188,
8260218,0,candidate,537.7,5.714817603,K01066.01,CANDIDATE,0.010392840951681137,
11404644,0,candidate,533.9,5.902596818,K06085.01,CANDIDATE,4.9902220133901665e-09,
6690171,0,candidate,495.3,85.0624157,K03320.01,CANDIDATE,0.1089709997177124,
9418619,0,candidate,471.0,6.150251376,K06068.01,CANDIDATE,1.34767642521183e-05,
6309763,0,candidate,466.2,3.251659087,K00611.01,CANDIDATE,0.006728499662131071,
8616873,0,candidate,426.0,0.576078683,K01251.01,CANDIDATE,5.5445660109398887e-05,
6300348,0,candidate,391.2,5.69590202,K00212.01,CANDIDATE,0.0012862656731158495,
7017372,0,candidate,385.7,5.24088367,K03689.01,CANDIDATE,0.0035538088995963335,
3545478,0,candidate,384.0,75.1122132,K00366.01,CANDIDATE,0.01616906002163887,
8554498,0,candidate,380.8,4.780327581,K00005.01,CANDIDATE,0.008298536762595177,
8631160,0,candidate,370.2,162.0479502,K01271.01,CANDIDATE,0.0015827699098736048,
10395543,0,candidate,363.9,3.687469832,K00531.01,CANDIDATE,0.02693701535463333,
12105051,0,candidate,361.1,2.624234833,K00141.01,CANDIDATE,0.049998994916677475,
9552608,0,candidate,351.4,9.250572762,K00080.01,CANDIDATE,0.048895012587308884,
3453214,0,candidate,340.5,19.620346923,K00802.01,CANDIDATE,0.05010213330388069,
8053552,0,candidate,332.0,29.481061268,K01549.01,CANDIDATE,0.005366611760109663,
7031517,0,candidate,307.5,12.940668656,K00871.01,CANDIDATE,2.7444812076282687e-06,
9574614,0,candidate,304.1,0.982090079,K01745.01,CANDIDATE,0.002344266278669238,
9084778,0,candidate,303.8,0.592243731,K01631.01,CANDIDATE,0.009251625277101994,
7199397,0,candidate,301.8,105.8817667,K00075.01,CANDIDATE,0.014101079665124416,
4936180,0,candidate,296.9,4.64090031,K00820.01,CANDIDATE,0.0008974312804639339,
3642741,0,candidate,288.6,7.258450123,K00242.01,FALSE POSITIVE,0.0014423399697989225,
10221013,0,candidate,288.5,7.189379172,K00728.01,CANDIDATE,0.011414545588195324,
8684730,0,candidate,286.0,46.15119482,K00319.01,CANDIDATE,0.004347334615886211,
4760746,0,candidate,282.8,15.068060768,K01455.01,CANDIDATE,0.00029619873384945095,
10153011,0,candidate,277.2,83.09708021,K01773.01,CANDIDATE,0.00918478425592184,
6867155,0,candidate,271.8,235.9986399,K00868.01,CANDIDATE,0.045421939343214035,
10602291,0,candidate,263.5,20.92735802,K00210.01,CANDIDATE,0.0007450474658980966,
6879865,0,candidate,258.5,19.193103549,K00417.01,CANDIDATE,0.009213477373123169,
5441980,0,candidate,252.5,5.89399142,K00607.01,CANDIDATE,0.0014068197924643755,
9512981,0,candidate,237.1,281.5628889,K01466.01,CANDIDATE,0.23964443802833557,
7377343,0,candidate,228.4,7.95445779,K05384.01,CANDIDATE,0.007332219742238522,
6862328,0,candidate,223.5,119.0207044,K00865.01,CANDIDATE,0.28002768754959106,
6805414,0,candidate,220.6,200.2350497,K05329.01,CANDIDATE,5.025540303904563e-05,
7811211,0,candidate,220.3,0.902403563,K06918.01,CANDIDATE,0.016339240595698357,
3532985,0,candidate,218.9,5.288547653,K05987.01,CANDIDATE,0.00030941824661567807,
11702948,0,candidate,215.0,9.771462706,K01465.01,CANDIDATE,0.01100954134017229,
9214713,0,candidate,212.9,809.0141881,K00422.01,CANDIDATE,0.1309858113527298,
8013419,0,candidate,210.5,12.732624065,K00901.01,CANDIDATE,0.039012543857097626,
7619236,0,candidate,208.4,562.1725914,K00682.01,CANDIDATE,0.031894661486148834,
11075279,0,candidate,197.9,345.1589354,K01431.01,CANDIDATE,0.01692856475710869,
5283458,0,candidate,196.6,30.69395532,K01547.01,CANDIDATE,0.00026193694793619215,
10158418,0,candidate,196.6,5.007414194,K01784.01,CANDIDATE,2.9683516089562545e-08,
5716763,0,candidate,196.4,1.28132831,K00272.01,CANDIDATE,,search_failed: timeout
5731623,0,candidate,190.4,3.261759866,K01793.01,CANDIDATE,0.03210935369133949,
10656508,0,candidate,190.1,124.03589939,K00211.01,CANDIDATE,0.15818335115909576,
7984047,0,candidate,185.5,77.63424586,K01552.01,CANDIDATE,0.11319727450609207,
5008245,0,candidate,185.3,2.60720833,K03770.01,CANDIDATE,0.0013517598854377866,
6599919,0,candidate,184.1,13.61014819,K00858.01,CANDIDATE,0.14120745658874512,
6289650,0,candidate,183.8,166.7876551,K00415.01,CANDIDATE,0.033951982855796814,
3115833,0,candidate,183.6,10.181584004,K00797.01,CANDIDATE,0.06390233337879181,
8018547,0,candidate,182.1,83.92494032,K00902.01,CANDIDATE,0.006536542437970638,
11180361,0,candidate,179.6,0.533059312,K00971.01,CANDIDATE,0.003240669844672084,
5390913,0,candidate,178.7,1.680254289,K05156.01,CANDIDATE,0.04728128761053085,
5769943,0,candidate,166.8,1.013774136,K03810.01,CANDIDATE,0.0062428065575659275,
3644071,0,candidate,164.0,1295.362215,K01192.01,CANDIDATE,0.38339096307754517,
6607447,0,candidate,163.2,99.6442783,K01242.01,CANDIDATE,0.44134217500686646,
11547869,0,candidate,160.5,10.72725536,K03749.01,CANDIDATE,0.001556633971631527,
7813039,0,candidate,157.4,141.73403059,K03787.01,CANDIDATE,0.048508111387491226,
5596440,0,candidate,150.5,10.47490332,K00648.01,CANDIDATE,1.1279372301942203e-05,
8323764,0,candidate,145.9,6.714247798,K03767.01,CANDIDATE,4.8050424084067345e-05,
9008220,0,candidate,141.0,9.391039263,K00466.01,CANDIDATE,0.0009643317316658795,
8110757,0,candidate,140.6,0.518060209,K07865.01,CANDIDATE,0.00010645241127349436,
11824222,0,candidate,135.8,15.84132627,K00437.01,CANDIDATE,0.01736486330628395,
11709124,0,candidate,135.5,934.09418462,K00435.02,CANDIDATE,0.005831659305840731,
3345675,0,candidate,131.1,120.00336404,K01772.01,CANDIDATE,0.08802969008684158,
11853130,0,candidate,131.0,76.87935893,K03263.01,CANDIDATE,0.2745170593261719,
5475431,0,candidate,128.1,0.917568975,K01546.01,CANDIDATE,0.052373360842466354,
4055765,0,candidate,125.9,9.9664004,K00100.01,CANDIDATE,0.0020822156220674515,
2437505,0,candidate,124.8,21.47642727,K02671.01,CANDIDATE,0.02763189747929573,
11342550,0,candidate,122.8,1693.6636225,K01421.01,CANDIDATE,0.12797695398330688,
8813698,0,candidate,120.4,268.9410974,K01268.01,CANDIDATE,0.11052493005990982,
9846348,0,candidate,119.6,26.89316101,K00716.01,CANDIDATE,0.005355770234018564,
12417486,0,candidate,117.9,155.042265,K00622.01,CANDIDATE,0.08301778137683868,
6185476,0,candidate,117.2,17.65737838,K00227.01,CANDIDATE,0.057326510548591614,
11566064,0,candidate,116.3,152.1060435,K00353.01,CANDIDATE,1.836813498812262e-05,
9703198,0,candidate,114.8,10.32906563,K00469.01,CANDIDATE,0.02963826432824135,
8046659,0,candidate,113.6,31.56904354,K01560.01,CANDIDATE,0.18138612806797028,
9425139,0,candidate,113.4,305.0762469,K01411.01,CANDIDATE,0.11089455336332321,
7899070,0,candidate,110.9,126.4451275,K02683.01,CANDIDATE,0.004125397652387619,
3425851,0,candidate,108.9,110.3783828,K00268.01,CANDIDATE,0.0020369794219732285,
11026304,0,candidate,107.9,13.35151248,K01420.01,CANDIDATE,0.1565403938293457,
2307199,0,candidate,105.3,13.4471791,K00151.01,CANDIDATE,0.21043257415294647,
7504328,0,candidate,103.0,53.71798494,K00458.01,CANDIDATE,0.14263509213924408,
11904734,0,candidate,102.8,12.681733929,K01764.01,CANDIDATE,0.1372269243001938,
6025124,0,candidate,101.4,26.83771808,K03411.01,CANDIDATE,0.0003639624046627432,
